,Unnamed: 0,openTime,closeTime,open,high,low,close,baseVolume,quoteVolume,numTrades,takerBuyBaseVolume,takerBuyQuoteVolume
7196,7196,2024-02-25 23:40:00+00:00,2024-02-25 23:44:59.999000+00:00,51761.91,51779.51,51752.0,51770.29,37.02557,1916639.4819046,2757,25.32102,1310723.2345199
7197,7197,2024-02-25 23:45:00+00:00,2024-02-25 23:49:59.999000+00:00,51770.28,51770.29,51755.6,51756.51,19.95065,1032719.704153,2336,7.3753,381770.225541
7198,7198,2024-02-25 23:50:00+00:00,2024-02-25 23:54:59.999000+00:00,51756.51,51759.88,51734.17,51743.96,53.90115,2789198.7828476,3870,27.03603,1398956.7304438
7199,7199,2024-02-25 23:55:00+00:00,2024-02-25 23:59:59.999000+00:00,51743.96,51743.96,51721.1,51728.85,34.08312,1763095.4862344,1586,18.78913,971916.1802197
7200,7200,2024-02-26 00:00:00+00:00,2024-02-26 00:04:59.999000+00:00,51728.85,51735.0,51691.1,51691.1,52.94325,2738169.5920908,3139,12.11465,626625.5646701
7201,7201,2024-02-26 00:05:00+00:00,2024-02-26 00:09:59.999000+00:00,51691.1,51705.69,51691.1,51692.19,39.42152,2038145.2338253,1851,22.17763,1146605.6071228
7202,7202,2024-02-26 00:10:00+00:00,2024-02-26 00:14:59.999000+00:00,51692.2,51692.2,51627.22,51643.38,80.89045,4178296.5310899,3026,36.28707,1874117.76501
7203,7203,2024-02-26 00:15:00+00:00,2024-02-26 00:19:59.999000+00:00,51643.37,51766.27,51621.06,51720.81,96.21784,4974460.9650249,3611,46.14646,2385525.9459263
7204,7204,2024-02-26 00:20:00+00:00,2024-02-26 00:24:59.999000+00:00,51720.82,51763.05,51692.2,51715.6,103.0058,5328881.4960941,3755,38.9417,2014481.6751442
7205,7205,2024-02-26 00:25:00+00:00,2024-02-26 00:29:59.999000+00:00,51715.6,51747.6,51694.0,51705.11,64.57239,3339349.7041006,3663,27.24727,1409087.4628036
7206,7206,2024-02-26 00:30:00+00:00,2024-02-26 00:34:59.999000+00:00,51705.11,51769.4,51675.93,51769.4,85.90739,4442730.4962536,3538,47.17523,2439463.7828385
7207,7207,2024-02-26 00:35:00+00:00,2024-02-26 00:39:59.999000+00:00,51769.39,51796.5,51735.8,51752.76,109.54127,5670369.1915212,5448,49.70428,2572914.0840278
7208,7208,2024-02-26 00:40:00+00:00,2024-02-26 00:44:59.999000+00:00,51752.76,51756.01,51713.12,51713.13,74.21083,3839243.0888258,3438,34.78231,1799366.816418
7209,7209,2024-02-26 00:45:00+00:00,2024-02-26 00:49:59.999000+00:00,51713.14,51713.14,51681.1,51705.38,56.27997,2909343.1995211,2218,28.13628,1454436.2109178
7210,7210,2024-02-26 00:50:00+00:00,2024-02-26 00:54:59.999000+00:00,51705.39,51730.49,51700.91,51704.4,62.10427,3211777.903784,3540,27.60327,1427592.1686958
7211,7211,2024-02-26 00:55:00+00:00,2024-02-26 00:59:59.999000+00:00,51704.4,51704.41,51671.23,51678.9,39.8314,2058518.3670095,1931,13.05569,674694.799624
7212,7212,2024-02-26 01:00:00+00:00,2024-02-26 01:04:59.999000+00:00,51678.9,51698.33,51671.23,51688.66,61.62734,3185114.96442,2480,27.84057,1438797.8600578
7213,7213,2024-02-26 01:05:00+00:00,2024-02-26 01:09:59.999000+00:00,51688.65,51695.91,51665.59,51665.6,28.53527,1474694.2324566,2424,8.26178,426993.0783036
7214,7214,2024-02-26 01:10:00+00:00,2024-02-26 01:14:59.999000+00:00,51665.59,51665.6,51546.6,51546.6,82.14321,4238252.6993224,4275,22.16396,1143431.259723
7215,7215,2024-02-26 01:15:00+00:00,2024-02-26 01:19:59.999000+00:00,51546.6,51576.79,51536.38,51571.0,75.2461,3879357.1169803,2590,32.26816,1663581.7733636
7216,7216,2024-02-26 01:20:00+00:00,2024-02-26 01:24:59.999000+00:00,51571.0,51602.63,51531.1,51537.39,96.49485,4976865.2577801,3000,46.44002,2395044.2535671
7217,7217,2024-02-26 01:25:00+00:00,2024-02-26 01:29:59.999000+00:00,51537.39,51547.01,51528.57,51535.3,55.47338,2858976.7882789,2329,23.88074,1230712.8968798
7218,7218,2024-02-26 01:30:00+00:00,2024-02-26 01:34:59.999000+00:00,51535.3,51551.95,51501.83,51525.98,68.75436,3542085.6602023,3077,31.86852,1641762.2112295
7219,7219,2024-02-26 01:35:00+00:00,2024-02-26 01:39:59.999000+00:00,51525.99,51525.99,51500.0,51515.99,49.53017,2551264.1725168,2377,28.43561,1464631.840507
7220,7220,2024-02-26 01:40:00+00:00,2024-02-26 01:44:59.999000+00:00,51515.99,51549.02,51507.6,51549.02,52.62852,2711605.3875352,2311,35.71291,1840058.6378314
7221,7221,2024-02-26 01:45:00+00:00,2024-02-26 01:49:59.999000+00:00,51549.02,51549.02,51511.77,51511.78,29.63069,1526761.0612069,2293,8.26138,425636.1883338
7222,7222,2024-02-26 01:50:00+00:00,2024-02-26 01:54:59.999000+00:00,51511.78,51512.0,51501.7,51506.47,20.60256,1061155.7504229,1284,11.31649,582863.4018894
7223,7223,2024-02-26 01:55:00+00:00,2024-02-26 01:59:59.999000+00:00,51506.48,51509.79,51473.17,51473.17,49.68411,2558602.2846201,2403,15.35107,790612.5416474
7224,7224,2024-02-26 02:00:00+00:00,2024-02-26 02:04:59.999000+00:00,51473.17,51495.99,51473.17,51495.99,45.92037,2364190.1022876,2480,26.30708,1354386.4592132
7225,7225,2024-02-26 02:05:00+00:00,2024-02-26 02:09:59.999000+00:00,51495.98,51499.99,51473.53,51486.03,64.12814,3301799.2253729,2890,30.72318,1581798.1937714
7226,7226,2024-02-26 02:10:00+00:00,2024-02-26 02:14:59.999000+00:00,51486.03,51536.58,51450.0,51536.57,96.72404,4979288.3782483,3456,39.1881,2017716.7842719
7227,7227,2024-02-26 02:15:00+00:00,2024-02-26 02:19:59.999000+00:00,51536.58,51546.0,51490.86,51490.86,37.35157,1924585.9114134,2455,11.06319,570099.9797542
7228,7228,2024-02-26 02:20:00+00:00,2024-02-26 02:24:59.999000+00:00,51490.87,51490.87,51468.0,51469.54,26.38323,1358150.9757775,2393,11.64145,599267.6761298
7229,7229,2024-02-26 02:25:00+00:00,2024-02-26 02:29:59.999000+00:00,51469.53,51469.54,51428.0,51436.43,51.42908,2645927.2327903,2472,16.67606,857912.4242027
7230,7230,2024-02-26 02:30:00+00:00,2024-02-26 02:34:59.999000+00:00,51436.42,51483.0,51436.42,51458.76,52.33186,2692792.7984453,3162,29.41953,1513690.9259305
7231,7231,2024-02-26 02:35:00+00:00,2024-02-26 02:39:59.999000+00:00,51458.77,51468.24,51443.0,51453.24,54.13985,2785906.053656,3083,27.93601,1437475.5264986
7232,7232,2024-02-26 02:40:00+00:00,2024-02-26 02:44:59.999000+00:00,51453.25,51516.24,51453.24,51510.78,41.16154,2119504.7075384,2508,26.34363,1356423.8515814
7233,7233,2024-02-26 02:45:00+00:00,2024-02-26 02:49:59.999000+00:00,51510.78,51515.38,51471.64,51487.28,40.95029,2108729.1353691,2373,21.88092,1126675.2362399
7234,7234,2024-02-26 02:50:00+00:00,2024-02-26 02:54:59.999000+00:00,51487.28,51487.3,51443.0,51450.61,46.42486,2389177.0703128,2562,16.74644,861701.9653222
7235,7235,2024-02-26 02:55:00+00:00,2024-02-26 02:59:59.999000+00:00,51450.62,51450.62,51432.92,51432.92,81.06469,4170100.0686105,2168,39.83981,2049483.6376173
7236,7236,2024-02-26 03:00:00+00:00,2024-02-26 03:04:59.999000+00:00,51432.92,51476.4,51432.92,51444.3,93.01571,4785746.5303786,3122,66.25377,3408640.3113794
7237,7237,2024-02-26 03:05:00+00:00,2024-02-26 03:09:59.999000+00:00,51444.29,51444.3,51400.0,51429.22,77.50982,3985260.8976898,3431,35.18069,1808865.0258
7238,7238,2024-02-26 03:10:00+00:00,2024-02-26 03:14:59.999000+00:00,51429.21,51454.97,51427.9,51445.01,44.24002,2275772.8363233,2074,37.33888,1920745.2452269
7239,7239,2024-02-26 03:15:00+00:00,2024-02-26 03:19:59.999000+00:00,51445.01,51526.8,51445.0,51512.78,73.04575,3760596.585073,2556,60.32276,3105313.0935595
7240,7240,2024-02-26 03:20:00+00:00,2024-02-26 03:24:59.999000+00:00,51512.77,51512.78,51478.0,51482.03,28.75307,1480441.5219723,1722,12.93987,666163.02439
7241,7241,2024-02-26 03:25:00+00:00,2024-02-26 03:29:59.999000+00:00,51482.03,51522.67,51482.02,51517.24,57.74405,2974073.43628,1713,47.62438,2452767.9722929
7242,7242,2024-02-26 03:30:00+00:00,2024-02-26 03:34:59.999000+00:00,51517.24,51525.45,51505.22,51525.44,39.03376,2010762.5533479,1627,26.14368,1346727.5769375
7243,7243,2024-02-26 03:35:00+00:00,2024-02-26 03:39:59.999000+00:00,51525.45,51525.45,51484.32,51484.33,36.52908,1881203.6740656,1764,14.18134,730185.8581894
7244,7244,2024-02-26 03:40:00+00:00,2024-02-26 03:44:59.999000+00:00,51484.32,51497.4,51484.32,51497.39,23.50827,1210434.9403382,1675,17.3111,891308.1870118
7245,7245,2024-02-26 03:45:00+00:00,2024-02-26 03:49:59.999000+00:00,51497.4,51497.4,51484.32,51493.25,39.56263,2037109.1692869,1924,26.01049,1339275.6212346
7246,7246,2024-02-26 03:50:00+00:00,2024-02-26 03:54:59.999000+00:00,51493.26,51493.26,51493.25,51493.26,17.78894,916010.4428921,1305,10.82371,557348.1131946
7247,7247,2024-02-26 03:55:00+00:00,2024-02-26 03:59:59.999000+00:00,51493.25,51564.0,51493.25,51555.59,145.54924,7499581.954102,3702,115.04833,5927404.3826001
7248,7248,2024-02-26 04:00:00+00:00,2024-02-26 04:04:59.999000+00:00,51555.6,51558.0,51526.29,51526.29,33.28286,1715546.8924102,1820,9.69108,499471.1593447
7249,7249,2024-02-26 04:05:00+00:00,2024-02-26 04:09:59.999000+00:00,51526.29,51588.88,51522.97,51522.98,117.77985,6071442.4600917,3863,83.34418,4296050.2902587
7250,7250,2024-02-26 04:10:00+00:00,2024-02-26 04:14:59.999000+00:00,51522.97,51522.98,51516.99,51516.99,40.13899,2067961.3614549,1608,22.00897,1133886.853721
7251,7251,2024-02-26 04:15:00+00:00,2024-02-26 04:19:59.999000+00:00,51516.99,51517.0,51507.26,51507.27,20.79795,1071314.1521384,1652,4.81029,247770.2687294
7252,7252,2024-02-26 04:20:00+00:00,2024-02-26 04:24:59.999000+00:00,51507.26,51507.27,51484.32,51484.33,45.52371,2344161.0947991,2168,12.61804,649689.7708043
7253,7253,2024-02-26 04:25:00+00:00,2024-02-26 04:29:59.999000+00:00,51484.32,51484.33,51473.42,51477.2,23.3308,1201041.0118648,1508,11.92372,613819.3285562
7254,7254,2024-02-26 04:30:00+00:00,2024-02-26 04:34:59.999000+00:00,51477.19,51491.17,51477.19,51491.1,60.84655,3132471.9868962,3657,49.37833,2542048.8537344
7255,7255,2024-02-26 04:35:00+00:00,2024-02-26 04:39:59.999000+00:00,51491.11,51518.8,51478.89,51510.21,65.38472,3366888.2622398,3862,44.34097,2283230.4148807
7256,7256,2024-02-26 04:40:00+00:00,2024-02-26 04:44:59.999000+00:00,51510.21,51515.99,51501.71,51513.71,42.66682,2197816.9766684,1759,26.02665,1340661.7513632
7257,7257,2024-02-26 04:45:00+00:00,2024-02-26 04:49:59.999000+00:00,51513.72,51533.12,51504.29,51504.29,58.18732,2997833.3554837,2567,35.54209,1831137.3468912
7258,7258,2024-02-26 04:50:00+00:00,2024-02-26 04:54:59.999000+00:00,51504.29,51535.43,51504.29,51526.8,55.63207,2865923.7052484,2176,36.16894,1863241.7985762
7259,7259,2024-02-26 04:55:00+00:00,2024-02-26 04:59:59.999000+00:00,51526.8,51534.25,51498.08,51534.24,72.33273,3726042.5810775,2749,46.05083,2372095.5335597
7260,7260,2024-02-26 05:00:00+00:00,2024-02-26 05:04:59.999000+00:00,51534.23,51563.09,51534.23,51542.82,60.87741,3138254.6124898,2388,34.26474,1766282.401737
7261,7261,2024-02-26 05:05:00+00:00,2024-02-26 05:09:59.999000+00:00,51542.81,51557.33,51541.1,51541.85,49.28257,2540366.3575396,2058,26.43461,1362594.7145027
7262,7262,2024-02-26 05:10:00+00:00,2024-02-26 05:14:59.999000+00:00,51541.85,51548.3,51526.72,51529.24,48.31103,2489673.7533995,3105,25.74212,1326529.0753568
7263,7263,2024-02-26 05:15:00+00:00,2024-02-26 05:19:59.999000+00:00,51529.24,51529.24,51492.0,51510.06,42.23542,2175318.9086229,2437,25.29477,1302726.8968014
7264,7264,2024-02-26 05:20:00+00:00,2024-02-26 05:24:59.999000+00:00,51510.05,51510.06,51484.96,51484.96,33.26193,1713038.3227523,1798,9.83628,506532.0415321
7265,7265,2024-02-26 05:25:00+00:00,2024-02-26 05:29:59.999000+00:00,51484.96,51484.97,51435.19,51445.36,71.87364,3697809.6735832,2703,25.06412,1289378.5069398
7266,7266,2024-02-26 05:30:00+00:00,2024-02-26 05:34:59.999000+00:00,51445.36,51521.04,51431.1,51521.03,81.40619,4189630.7005243,2856,62.28216,3205561.2640421
7267,7267,2024-02-26 05:35:00+00:00,2024-02-26 05:39:59.999000+00:00,51521.04,51549.63,51515.36,51543.7,98.45152,5072954.4426191,2441,71.23085,3670238.479714
7268,7268,2024-02-26 05:40:00+00:00,2024-02-26 05:44:59.999000+00:00,51543.7,51574.78,51537.37,51570.56,103.21003,5320621.4371779,2377,86.08607,4437724.2530442
7269,7269,2024-02-26 05:45:00+00:00,2024-02-26 05:49:59.999000+00:00,51570.56,51598.06,51570.55,51591.4,70.04032,3613088.5710493,4049,50.56524,2608373.0373291
7270,7270,2024-02-26 05:50:00+00:00,2024-02-26 05:54:59.999000+00:00,51591.4,51591.4,51568.39,51568.4,24.64125,1271172.6917199,2604,9.12203,470599.1704477
7271,7271,2024-02-26 05:55:00+00:00,2024-02-26 05:59:59.999000+00:00,51568.39,51570.0,51560.0,51569.0,29.93271,1543479.6006002,1894,15.64468,806691.5193514
